id,organiser_id,name,description,banner_url,location,tags,start_date,end_date,accepts_vendors,vendor_application_deadline,status,created_at,updated_at,version,bear_eventsia_fee,vendor_requires_approval,enable_vendor_form,vendor_form_is_public
019bab67-67f7-4e96-92c6-dc8a9bd1c50f,35f7132a-70ca-4a22-a87d-8384f2990144,Hurstville Collectables Fair,"BAM! WHAM! KAPOW! Step into a world where Comics, Collectables, Cd’s, DVDs, Vinyl's and vintage treasures collide! The Hurstville Collectables Fair isn’t just any market, it's a SUPER event packed with over 100 STALL HOLDERS, each bringing their unique flair to a gathering filled with thousands of rare and sought-after items!

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: Hurstville Collectables Fair
Official Website: https://www.hurstville-collectables-fair.com/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769753418683.png,"Hurstville, St George, Sydney, Georges River Council, New South Wales, 2220, Australia","[""Card Collecting"",""Collectibles"",""Card Trading"",""Pop Culture""]",2026-06-21 09:00:00+00,2026-06-21 14:00:00+00,FALSE,,published,,10:19.4,,FALSE,FALSE,FALSE,FALSE
01efe035-0c6e-4758-941c-84fe02964bd0,35f7132a-70ca-4a22-a87d-8384f2990144,Hobby Con Sydney,"HobbyCon Australia -
Discover it, Love it, Collect it….

HobbyCon is the ultimate celebration of all things Hobby, Collectables & Pop Culture!
Sneakers, comics, gaming, trading cards, anime, die-cast models, rare currency, creative hobbies, cosplay and SO much more — if you’re passionate about it, you’ll find it here.

Join the vibrant world of HobbyCon and immerse yourself in a community buzzing with energy, creativity, and excitement. Share your passions, discover hidden gems, meet fellow hobbyists, and explore the latest trends from every corner of the hobby universe.

A family-friendly, high-energy, fun-packed event made for fans of all ages! 

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: Hobby Con Sydney
Official Website: https://www.facebook.com/p/HobbyCon-61578183101953/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769828317578.jpeg,"Whitlam Leisure Centre, Memorial Avenue, Sydney, Liverpool City Council, New South Wales, 2170, Australia","[""Card Collecting"",""Collectors Market"",""Hobby Trading"",""Pop Culture"",""Trading Card Games""]",2026-11-14 09:00:00+00,2026-11-14 16:00:00+00,FALSE,,published,,58:37.9,,FALSE,FALSE,FALSE,FALSE
04b29c98-da3d-417c-824d-0d81f9fa6fc8,35f7132a-70ca-4a22-a87d-8384f2990144,AVCon 2026: Rhythm Revolution,"AVCon 2026 - Are you ready for the Rhythm Revolution? Get ready to move to the beat at the ultimate weekend of anime, gaming, cosplay, art and much more!

We're back at it a gain! Join us July 4th and 5th at the Adelaide Showgrounds with the combined Jubilee and Goyder Pavilions for two unforgettable days of celebration. Don't miss out!!

Come see the best cosplay in all of Australia with the AVCon cosplay competition, as well as the very first ever round of the International Cosplay League, where we will crown the cosplay Team Australia and send them to Spain to compete on the world stage!

AVCon is a locally produced community event. Kids under 12 are free so bring them to our dedicated kids area, a safe place for our youngest fans!

EVENT INFORMATION:
Saturday 4th of July 2026: 10:00 am – 5:00 pm
Sunday 5th of July 2026: 10:00 am – 7:00 pm

LOCATION
Jubilee & Goyder Pavillion, Adelaide Showground
(Goodwood Rd, Wayville SA 5034)

AVCon: Rhythm Revolution is an all-ages event that caters to fans of:
GAMING
- Game tournaments
- Freeplay console and PC gaming
- Retro consoles and games
- Indie Australian games
- Free play VR experiences
- Arcade games including rhythm games

JAPANESE CULTURE
- Anime screenings
- Manga library
- Cosplay and competitions
- Art, colouring, and origami

TABLETOP
- Free play board games
- Pen and paper roleplaying games
- Learn to play trading card games and TCG tournaments
- Miniature wargaming
- Puzzles

EXHIBITORS
- Collectibles
- Artist Alley
- Vendors
- Community groups

ENTERTAINMENT
- Local and International Guests
- Maid café inspired by Japanese-themed establishments
- Live music
- Local and interstate Idol Performances
- Kpop Crews

CREATIVE
- Creative competitions such as fanfic, art and anime music videos (AMVs)
- Interactive creative workshops
- Informative and fun panels
- Streaming, YouTubers, vtubers and podcasts

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: AVCon
Official Website: https://www.avcon.org.au/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769757723036.webp,"Adelaide Showground, Wayville, Adelaide, City of Unley, South Australia, 5034, Australia","[""Anime"",""Artist Alley"",""Gaming Community"",""Cosplay"",""Live Entertainment""]",2026-07-04 10:00:00+00,2026-07-05 19:00:00+00,FALSE,,published,,22:03.5,,FALSE,FALSE,FALSE,FALSE
0631f9ba-5e87-4e99-b5b0-19dd5f6321e5,35f7132a-70ca-4a22-a87d-8384f2990144,Comic-Geddon,"Comic-Geddon!!!

Comic-Geddon is where fans inspired by imaginary worlds of comics, sci-fi, fantasy, anime, gaming, nostalgia, and literature come together to celebrate all things geek culture.

It’s a place to rejoice in cosplay, express your inner geek and embrace your inner child.

Dive into a world packed with exciting exhibitors and epic cosplay competitions, woven together with collectables, comics, Pop Vinyls, trading cards, original artist drawings, and so much more.

We encourage everyone attending to dress up in your favourite cosplay and join in the fun. This is a family-friendly event with something for everyone to see, do, and enjoy.

✨ Prepare for an unforgettable experience!

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: Comoc-Geddon
Official Website: https://www.facebook.com/p/Comic-Geddon-61572244387687/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1770031112701.png,"Founders Pavilion, Frank Thomas Avenue, Glenvale, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia","[""Comic Culture"",""Collectibles""]",2026-06-14 09:00:00+00,2026-06-14 16:00:00+00,FALSE,,published,,,1,FALSE,TRUE,FALSE,TRUE
06e8cb9a-571b-40dd-87d5-8e135bf3931d,35f7132a-70ca-4a22-a87d-8384f2990144,OZ Comic-Con Perth,"Step into the extraordinary world of Oz Comic-Con, where creativity thrives and passion unites fans of every generation! Embark on a thrilling journey across two action-packed days filled with adventure, laughter, and all things pop culture.

Whether you’re a seasoned convention-goer or attending for the first time, Oz Comic-Con promises an immersive and enjoyable experience for all. Join us as we ignite the spark of excitement and celebrate the diverse tapestry of pop culture that unites us all. At Oz Comic-Con, the adventure begins the moment you walk through the doors – don’t miss out on the fun!

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: Oz Comic-Con
Official Website: https://ozcomiccon.com/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769667645537.jpg,"Perth Convention Exhibition Centre, Mounts Bay Road Exit, Perth, City of Perth, Western Australia, 6000, Australia","[""Comic Culture"",""Cosplay"",""Hobby Trading"",""Anime"",""Pop Culture""]",2026-03-28 09:30:00+00,2026-03-29 16:30:00+00,FALSE,,published,,20:46.3,,FALSE,FALSE,FALSE,FALSE
07787d49-4dac-41d4-b58b-608448dca977,35f7132a-70ca-4a22-a87d-8384f2990144,Oz Comic-Con Canberra,"Step into the extraordinary world of Oz Comic-Con, where creativity thrives and passion unites fans of every generation! Embark on a thrilling journey across two action-packed days filled with adventure, laughter, and all things pop culture.

Whether you’re a seasoned convention-goer or attending for the first time, Oz Comic-Con promises an immersive and enjoyable experience for all. Join us as we ignite the spark of excitement and celebrate the diverse tapestry of pop culture that unites us all. At Oz Comic-Con, the adventure begins the moment you walk through the doors – don’t miss out on the fun!

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: Oz Comic-Con
Official Website: https://ozcomiccon.com/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769815801095.jpg,"Exhibition Park in Canberra (EPIC), Stirling Avenue, Watson, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia","[""Anime"",""Comic Culture"",""Cosplay"",""Hobby Trading"",""Pop Culture""]",2026-08-15 09:30:00+00,2026-08-16 16:30:00+00,FALSE,,published,,30:49.7,,FALSE,FALSE,FALSE,FALSE
090e0e89-3ea4-411b-86c8-79b5ea3e699c,35f7132a-70ca-4a22-a87d-8384f2990144,SMASH! 2026,"SMASH! 2026 has resurfaced with relics shining through the aged ice! Back again with a prehistoric charm proving to be as grand as you remember! We are returning to the ICC Sydney on July 11th, 12th for an adventurous weekend filled with epic activities, chomping competitions, enthralling cosplay, new exclusive merch, and a load of dino-filed wonder! Secure your tickets now and join the adventure!

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: SMASH!
Official Website: https://smash.org.au/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769764320572.png,"International Convention Centre Sydney, Pyrmont Street, Sydney, Sydney CBD, Sydney, Council of the City of Sydney, New South Wales, 2007, Australia","[""Anime"",""Artist Alley"",""Cosplay"",""Interactive Activities"",""Manga""]",2026-07-11 10:00:00+00,2026-07-12 17:00:00+00,FALSE,,published,,12:01.5,,FALSE,FALSE,FALSE,FALSE
0b1f8a59-7543-4e9d-a021-4112ac9a467f,35f7132a-70ca-4a22-a87d-8384f2990144,GeekExpo Canberra,"Geek Expo: Canberra
📅 July 18–19 | 🕙 9am–4pm
📍 @epiccanberra (EPIC)

Geek Expo returns to Canberra for two massive days at EPIC. This is our largest Canberra event of the year, bringing together an expanded lineup of artists, exhibitors, and pop culture experiences across the entire weekend. Across both days you’ll find:

• Artists, creators, and illustrators
• Traders and pop culture retailers
• Comics, collectibles, and fandom gear
• Panels, features, and interactive experiences
Whether you attend one day or both, Geek Expo Canberra is the ultimate mid-year celebration of geek culture.

📍 Exhibition Park in Canberra
🕙 9am–4pm | Saturday & Sunday

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: GeekExpo
Official Website: https://geekmarkets.com.au/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769828716904.jpg,"Exhibition Park in Canberra (EPIC), Federal Highway, Watson, Canberra, District of Canberra Central, Australian Capital Territory, 2602, Australia","[""Artist Alley"",""Collectibles"",""Comic Culture"",""Interactive Activities"",""Pop Culture""]",2026-07-18 09:00:00+00,2026-07-19 16:00:00+00,FALSE,,published,,05:17.4,,FALSE,FALSE,FALSE,FALSE
0b5a3b3e-4a7e-4833-8c2d-227b075c3695,35f7132a-70ca-4a22-a87d-8384f2990144,Collector Con Penrith,"Find 400+ trading tables across three halls full of toy, hobby and pop culture collectables. Plus, activations including a cosplay competition, Dungeons & Dragons adventures, Trade-A-Thon Zone, professional wrestling matches, fan groups and Magic the Gathering (MTG) space!

What's On?
* Vendor tables will be filled with collectables such as action figures, comics, plush, POPS, bricks, dolls, vintage and new collectable die-cast models, model trains trading cards and more!!!
* Professional wrestlers from All-Star Wrestling will have live matches
* Star Walking Inc cosplay competition
* Dungeons & Dragons plus Call of Cthulhu adventures
* Meet Star Wars and Star Trek fan groups

💙 This event was aggregated by the Eventsia team to help the community find the best local events 💙

Host: CollectorCon
Official Website: https://collectorcon.com.au/

Organisers: To claim this event, sign up to Eventsia and contact us at info@eventsia.solutions or @eventsia.solutions via Instagram",https://zufjfdylsghvleenypeg.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/0bca0130-baf3-4356-a107-57b3226a1a2e-1769828952039.png,"Penrith Valley Regional Sports Centre, Herbert Street, Cambridge Park, Sydney, Penrith City Council, New South Wales, 2747, Australia","[""Collectors Market"",""Hobby Events"",""Pokémon"",""Trading Card Games"",""Gaming Community""]",2026-11-22 09:30:00+00,2026-11-22 15:00:00+00,FALSE,,published,,09:12.6,,FALSE,FALSE,FALSE,FALSE
0c41f716-5eb1-4b53-8f10-9053e2412489,35f7132a-70ca-4a22-a87d-8384f2990144,Viking Festival,"Sussex Inlet Viking Festival features viking camps, battles, markets, and scandinavian food.",https://uamujegqzdzozgcqjnqx.supabase.co/storage/v1/object/public/eventsia-storage/event-banners/3d7e4ede-2895-4ad5-976d-1c341f80380e-1764371433335.jpg,New South Wales,"[""Artisan Products"",""Card Collecting""]",2026-06-06 09:00:00+00,2026-06-06 19:00:00+00,FALSE,,draft,,,,FALSE,FALSE,FALSE,FALSE
